"","target.effect","orig.study.number","orig.N","orig.ES.type","orig.ES","orig.ES.CI","rep.N","rep.ES.type","rep.ES","rep.ES.CI","rep.study.number","rep.outcome","IVs","DVs","rep.type","rep.effort.type","rep.method.differences","rep.active.sample.evidence","other.outcomes","ES.description","EC.URL","orig.study.article.URL","orig.study.article.DOI","rep.study.article.URL","rep.open.data.URL","rep.open.materials.URL","rep.pre.reg.URL","orig.open.data.URL","orig.open.materials.URL","orig.pre.reg.URL","rep.population","discipline","orig.study.pub.year","reporting.standard.used","effect.description","design","statistical.effect.type","orig.test.statistic","orig.pvalue","rep.outcome.bayesian","orig.article.title","RPP.orig.untransformed.ES","RPP.rep.untransformed.ES","RPP.interpretation","RPP.study.number","study.order.CS","rep.num.in.set","social.priming","include.in.HTML.table","rep.num","x_crcited","x_altscore","rvCAN","x_altscore_pyear","x_crcited_pyear","rvCAN_pyear","orig.ES.CI.r","rvCAP","rvCAP_pyear","rvCApyN","orig.pvalue.numeric"
"11","walking on eggshells effect","Lemay & Clark (2008a) Study 5",186,"r",0.17,0.14,280,"r","0.04","0.12","Baranski (2015)","no signal - inconsistent",NA,NA,"very close","RPP #11",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/7d50/911e5a1e8199449e74e82ab7515c33695ff8.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.95.2.420","https://osf.io/efjn3/","https://osf.io/ke43j/","https://osf.io/ke43j/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps believed confederate's expressions were happier than their private feelings, but only in vulnerable conditions. ","RM ANOVA","interaction","F(1, 182) = 5.24","<.05",NA,"Walking on eggshells: How expressing relationship insecurities perpetuates them.","η²(N=186) = .028","η²(N=280) = .001","unsuccessful",58,11,11,NA,"yes",11,34,6.08,0.199139784946237,0.608,3.4,0.0199139784946237,0.14,5.1856,0.51856,0.265663923352048,0.05
"12","head liberates heart effect","Lemay & Clark (2008b) Study 5",153,"R²",0.68,NA,216,"b","0.72",NA,"Marigold, Forest et al. (2015)","signal - consistent",NA,NA,"very close","RPP #12",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/7b10/2f1d04ba874821f66569d41683070b783bd5.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.4.647","https://osf.io/mv3i7/","https://osf.io/h84qd/","https://osf.io/h84qd/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps own responsiveness was a significant predictor of their perception of their partners' responsiveness.","multilevel model","regression","b = .68","<.001",NA,"How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.","level 1 R²(N=153) = .68","b(N=216) = .72","successful",59,12,12,NA,"yes",12,50,1,0.330065359477124,0.1,5,0.0330065359477124,NA,NA,NA,0.323876482562636,0.001
"13","poignancy effect","Ersner-Hershfield et al. (2008) Study 2",110,"r",0.22,0.18,222,"r","0","0.14","Talhelm, Eggleston, & Lee (2015a)","no signal - inconsistent",NA,NA,"very close","RPP #13",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/72a0/2b6869a1330a4090a9ddfb21674c6a0e21fe.pdf?_ga=2.139570293.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.1.158","https://osf.io/fw6hv/","https://osf.io/sq8k9/","https://osf.io/sq8k9/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps (college seniors) reminded they were experiencing their last day as students at graduation reported fewer mixed emotions than Ps not reminded.","independent-samples t-test","main effect","t(108) = -2.34","<.05",NA,"Poignancy: Mixed emotional experience in the face of meaningful endings.","d(N=110) = +.45","d(N=222) = -.01","unsuccessful",61,13,13,NA,"yes",13,68,17.35,0.697045454545455,1.735,6.8,0.0697045454545454,0.18,13.8015,1.38015,0.456160900458295,0.05
"14","modulation of 1/f noise racial bias emission effect","Correll (2008) Study 2",71,"r",0.27,0.22,148,"r","0.07","0.16","LeBel (2015) Study 1","no signal - inconsistent","avoid/use race information vs. control instructions","1/f noise (weapon identification task)","very close","RPP #14","Canadian rather than US undergraduates; keyboard used instead of response box;","Racial bias (in terms of RT) higher in use and avoid race (compared to control) conditions (d = .34 ± .35); 1/f noise observed within each of the 3 conditions (p<.0001)",NA,NA,NA,"https://github.com/eplebel/science-commons/blob/master/curated/correll(2008).pdf","10.1037/0022-3514.94.1.48","https://osf.io/hzka3/","https://osf.io/fejxb/","https://osf.io/fejxb/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps in use-race or avoid-race instruction conditions exhibited less 1/f noise (as reflected in PSD slopes) on WIT than Ps in a control condition.","between ANOVA using planned orthogonal contrasts","contrast","F(1, 68) = 5.52","<.02",NA,"1/f noise and effort on implicit measures of bias.","d(N=71) = +.59 ± .51","d(N=148) = +.16 ± .34","unsuccessful",63,14,14,NA,"yes",14,34,1,0.485915492957746,0.1,3.4,0.0485915492957746,0.22,7.59,0.759,0.293890933551618,0.02
"15","aggression priming perceptual effect","Forster, Liberman et al. (2008) Study 1",82,"r",0.43,0.18,71,"r","0.11","0.24","Reinhard (2015)","no signal - inconsistent (imprecise)",NA,NA,"very close","RPP #15",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/4643/46b57725371f6d93e625699667ad784cb3bd.pdf?_ga=2.197004522.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.4.579","https://osf.io/sxnu6/","https://osf.io/mxryb/","https://osf.io/mxryb/",NA,NA,NA,NA,NA,"social",2008,NA,"Aggression priming increased perceptions of aggression (assimilation effect) among Ps whose processing style induced to be global (or control) whereas it decreased perceptions of aggression (contrast effect) among Ps whose processing style induced to be local.","ANOVA","interaction","F(2, 76) = 21.57","<.0001",NA,"The effect of global versus local processing styles on assimilation versus contrast in social judgment.","η²(N=82) = .362","η²(N=71) = .026","unsuccessful",64,15,15,NA,"yes",15,93,9,1.1890243902439,0.9,9.3,0.11890243902439,0.18,17.55,1.755,0.52701059222958,1e-04
"16","not so innocent effect","Exline, Baumeister et al. (2008) Study 7",45,"r",0.43,0.25,135,"r","0.01","0.17","Lin & Frank (2015)","no signal - inconsistent",NA,NA,"very close","RPP #16",NA,NA,NA,NA,NA,NA,NA,"https://osf.io/es7ub/","https://osf.io/imrx2/","https://osf.io/imrx2/",NA,NA,NA,NA,NA,"social",2008,NA,"Subtly asking Ps questions about their empathic understanding and capability of exhibiting similar transgressions reduced male (but not female) Ps' feelings of vengefulness.","ANOVA","interaction","F(1, 41) = 9.40","<.01",NA,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?","η²(N=45) = .186","η²(N=135) = .001","unsuccessful",65,16,16,NA,"yes",16,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,0.01
"17","tempting fate effect","Risen & Gilovich (2008) Study 6",122,"r",0.19,0.17,226,"r","0","0.13","Mathur & Frank (2015)","no signal - inconsistent",NA,NA,"very close","RPP #17",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/d828/30e4f7686ca44031a62d002bb9349ce6d5be.pdf?_ga=2.160491515.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.95.2.293","https://osf.io/nwua6/","https://osf.io/sg3su/","https://osf.io/sg3su/",NA,NA,NA,NA,NA,"social",2008,NA,"Tempting fate effect (tempting fate increases perceived likelihood of negative outcomes) amplified under cognitive load compared to a control condition.","ANOVA","interaction","F(1, 116) = 4.15","<.05",NA,"Why people are reluctant to tempt fate.","η²(N=122) = .035","η²(N=226) = .000","unsuccessful",68,17,17,NA,"yes",17,54,28.192,0.55816393442623,2.8192,5.4,0.055816393442623,0.17,11.57632,1.157632,0.43848119338283,0.05
"18","cross-cultural nonverbal pride expression effect","Tracy & Robins (2008) Study 4",211,"Propor",0.78,NA,333,"Propor","0.77",NA,"Sullivan (2015)","signal - consistent",NA,NA,"very close","RPP #18",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/2acf/75b16de98f1e49b8d62dcaddc0e8193488f8.pdf?_ga=2.233351384.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.3.516","https://osf.io/9uqxr/","https://osf.io/qthf2/","https://osf.io/qthf2/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps recognized conveyed emotions as pride at an above chance level, no matter what culture target represented. ","binomial test","binomial test","X","<.05",NA,"The nonverbal expression of pride: Evidence for cross-cultural recognition.","Av. Proportion(N=211) = .78","Av. proportion(N=333) = .77","successful",69,18,18,NA,"yes",18,84,14,0.431279620853081,1.4,8.4,0.0431279620853081,NA,NA,NA,0.426465412339715,0.05
"19","Wason task performance and cognitive ability correlation","Stanovich & West (2008) Study 8",375,"r",0.22,0.1,177,"r","0.07","0.15","Baranski (2015)","no signal - consistent (imprecise)",NA,NA,"very close","RPP #19",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/372b/31dd367450ee278ebc6bfe2d50287f893c7d.pdf?_ga=2.233351384.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.4.672","https://osf.io/p3gz2/","https://osf.io/7ux8p/","https://osf.io/7ux8p/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps correctly answering Wason's four-card selection task exhibited higher cognitive ability (SAT scores) than Ps answering card task incorrectly.","independent samples t-test","main effect","t(373) = 4.40","<.001",NA,"On the relative independence of thinking biases and cognitive ability.","d(N=375) = +.493","d(N=177) = +.15","unsuccessful",71,19,19,NA,"yes",19,234,1.5,0.626,0.15,23.4,0.0626,0.1,23.475,2.3475,0.533012527340458,0.001
"20","closed open mind effect","Blankenship & Wegener (2008) Study 5a",261,"r",0.21,0.12,251,"r","0.04","0.12","Lemm (2015)","no signal - inconsistent",NA,NA,"very close","RPP #20",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/f853/aa287ee48bcfcfcc1f807fa10faeccc04d0f.pdf?_ga=2.233351384.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.2.94.2.196","https://osf.io/v3e2z/","https://osf.io/2gx4k/","https://osf.io/2gx4k/",NA,NA,NA,NA,NA,"social",2008,NA,"Strong arguments more persuasive than weak arguments among Ps forced to focus on important values in the messages, but no argument strength effect among Ps forced to focus on unimportant values. ","ANOVA","interaction","F(1, 257) = 11.58","0.002",NA,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.","η²(N=261) = .042","η²(N=251) = .002","unsuccessful",72,20,20,NA,"yes",20,26,1,0.101532567049808,0.1,2.6,0.0101532567049808,0.12,3.18,0.318,0.178497282839183,0.002
"21","descriptive deviant popularity effect","Morrison & Miller (2008) Study 3",37,"r",0.32,0.3,120,"r","0.2","0.18","Motyl (2015)","signal - consistent",NA,NA,"very close","RPP #21",NA,NA,NA,NA,NA,NA,NA,"https://osf.io/2jwi6/","https://osf.io/nhwv5/","https://osf.io/nhwv5/",NA,NA,NA,NA,NA,"social",2008,NA,"Bumper stickers of descriptive deviants rated as more popular than bumper stickers of prescriptive deviants.","Pearson's Chi-squared test","main effect","X^2(1, N=37) = 3.85","<.05",NA,"Distinguishing between silent and vocal minorities: Not all deviants feel marginal.","Φ (phi)(N=37) = .32","Φ (phi)(N=120) = .20","successful",73,21,21,NA,"yes",21,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,0.05
"22","(un)accomplished goal action effect","Koo & Fishbach (2008) Study 4",246,"η²",0.041,NA,768703,"OR","0.159",NA,"Kidwell & Dodson (2015)","no signal",NA,NA,"very close","RPP #22",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/430d/1ea2b5233cb303dfa5eb39d8e67bd5c84e42.pdf?_ga=2.228124123.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.2.183","https://osf.io/68m2c/","https://osf.io/nr7d9/","https://osf.io/nr7d9/",NA,NA,NA,NA,NA,"social",2008,NA,"Increased donations to HIV/AIDS initiative when emphasizing ""to-date"" information among Ps who hadn't yet donated, but emphasizing ""to-go"" information among Ps who had. ","ANOVA","interaction","F(1, 242) = 10.47","<.01",NA,"Dynamics of self-regulation: How (un) accomplished goal actions affect motivation.","η²(N=246) = .041","OR(N=768703) = .159","unsuccessful",77,22,22,NA,"yes",22,98,14,0.426829268292683,1.4,9.8,0.0426829268292683,NA,NA,NA,0.438831660279275,0.01
"23","implemental mind-set attitude strength effect","Henderson, de Liver et al. (2008) Study 5",46,"r",0.26,0.28,70,"r","0.16","0.24","Lane & Gazarian (2015)","no signal - consistent",NA,NA,"very close","RPP #23",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/aa89/13651dae184a14a3186c74a9570b80a9ce1a.pdf?_ga=2.38709349.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.3.396","https://osf.io/cjr7d/","https://osf.io/79dey/","https://osf.io/79dey/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps in one-sided focus condition exhibited less ambivalence than participants in two-sided focus condition.","ANOVA","main effect","F(2, 43) = 3.36","<.05",NA,"The effects of an implemental mind-set on attitude strength.","η²(N=46) = .135","η²(N=70) = .048","unsuccessful",80,23,23,NA,"yes",23,19,1,0.423913043478261,0.1,1.9,0.0423913043478261,0.28,5.46,0.546,0.18104259678004,0.05
"24","need for acceptance reconcialiation effect","Shnabel & Nadler (2008) Study 4",94,"r",0.27,0.19,141,"r","-0.1","0.16","E. Gilbert (2015)","no signal - inconsistent",NA,NA,"very close","RPP #24",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/9e10/97af99a1b9d8e2e178170bf700feed1fd1d8.pdf?_ga=2.38709349.756229126.1510337183-1264817730.1510337183","10.1037/0022-3514.94.1.116","https://osf.io/fuj2c/","https://osf.io/xse7q/","https://osf.io/xse7q/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps in perpetrator condition reported higher need for social acceptance and reconciliation after moral acceptance was restored, whereas Ps in victim condition reported higher need for power and reconciliation after sense of power was restored.","between ANOVA","interaction","F(1, 90) = 6.98","<.05",NA,"A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.","η²(N=94) = .07","η²(N=141) = .010","unsuccessful",81,24,24,NA,"yes",24,152,1,1.62234042553191,0.1,15.2,0.162234042553191,0.19,28.975,2.8975,0.600412907179985,0.05
"25","face of success effect","Rule & Ambady (2008) Study 1",50,"r",0.3,0.26,50,"r","0.27","0.27","Talhelm, Eggleston, & Lee (2015b)","signal - consistent (imprecise)",NA,NA,"very close","RPP #25",NA,NA,NA,NA,NA,"https://pdfs.semanticscholar.org/71d5/3c7980b9561ffd56e6012b2bbb6685209df3.pdf?_ga=2.38709349.756229126.1510337183-1264817730.1510337183","10.1111/j.1467-9280.2008.02054.x","https://osf.io/4peq6/","https://osf.io/r5gpv/","https://osf.io/r5gpv/",NA,NA,NA,NA,NA,"social",2008,NA,"Composite ratings of perceived power and leadership positively correlated with company profits, even after controlling for CEO age, CEO attractiveness, and affect CEOs displayed in photo. ","partial correlation","correlation","r(41) = .30","<.05",NA,"The face of success: inferences from chief executive officers' appearance predict company profits.","r(N=50) = +.30","r(N=50) = +.27","unsuccessful",82,25,25,NA,"yes",25,121,6,2.48,0.6,12.1,0.248,0.26,32.24,3.224,0.649689940457388,0.05
"26","selective exposure information quantity effect","Fischer, Schulz-Hardt et al. (2008) Study 4",52,"r",0.5,0.21,150,"r","0.22","0.16","Ratliff (2015)","signal - inconsistent, smaller",NA,NA,"very close","RPP #26",NA,NA,NA,NA,NA,NA,NA,"https://osf.io/5afur/","https://osf.io/v8vft/","https://osf.io/v8vft/",NA,NA,NA,NA,NA,"social",2008,NA,"Decision-makers prefer inconsistent information when choosing between two pieces of information, but prefer consistent information when choosing between more pieces of information. ","Pearson's Chi-squared test","interaction","X^2(1, N=52) = 13.18","0.001",NA,"Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.","d(N=52) = +1.17","d(N=150) = +.46","successful",84,26,26,NA,"yes",26,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,0.001
"27","ego depletion confirmatory bias effect","Fischer, Greitemeyer et al. (2008) Study 2",85,"r",0.21,0.2,140,"r","0.12","0.16","Galliani (2015)","no signal - consistent",NA,NA,"very close","RPP #27",NA,NA,NA,NA,NA,NA,NA,"https://osf.io/9pnct/","https://osf.io/j8bpa/","https://osf.io/j8bpa/",NA,NA,NA,NA,NA,"social",2008,NA,"Ps whose self-regulation resources depleted exhibited increased biases in confirmatory information processing compared to non-depleted and ego-threatened condition Ps","between ANOVA","main effect","F(2, 82) = 4.05","0.02",NA,"Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.","η²(N=85) = .09","η²(N=140) = .03","unsuccessful",86,27,27,NA,"yes",27,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,0.02
